full_code	short_code	description	type	n	n_cases	n_controls	source	main_source	file_name	file_sha1	box_share_url	wget_command
100001_raw-Food_weight	100001_raw	Food weight	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100001_raw_ccn30.tsv.gz	99d0be31329ab39ea4abd746e164a5656c96b053	https://uchicago.box.com/shared/static/br47ewyrd4k2tp6f7avth10x90u6yx4z.gz	wget https://uchicago.box.com/shared/static/br47ewyrd4k2tp6f7avth10x90u6yx4z.gz -O smultixcan_100001_raw_ccn30.tsv.gz
100002_raw-Energy	100002_raw	Energy	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100002_raw_ccn30.tsv.gz	28a7e66d5f095eb7fdff044c661216fea6f5de31	https://uchicago.box.com/shared/static/drn63ir5s27xbjv0xo6m3b0nbrunxc4v.gz	wget https://uchicago.box.com/shared/static/drn63ir5s27xbjv0xo6m3b0nbrunxc4v.gz -O smultixcan_100002_raw_ccn30.tsv.gz
100003_raw-Protein	100003_raw	Protein	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100003_raw_ccn30.tsv.gz	28f917309b62f0124711f0fddd4b9f88f720c487	https://uchicago.box.com/shared/static/kmg2nikejcz8hqhhycoa36uv18e7koml.gz	wget https://uchicago.box.com/shared/static/kmg2nikejcz8hqhhycoa36uv18e7koml.gz -O smultixcan_100003_raw_ccn30.tsv.gz
100004_raw-Fat	100004_raw	Fat	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100004_raw_ccn30.tsv.gz	9a909157355a8fab2c0c01a5554398df8480836c	https://uchicago.box.com/shared/static/tpthplpo2b0lezvcbkv4m9uztzbs0ku8.gz	wget https://uchicago.box.com/shared/static/tpthplpo2b0lezvcbkv4m9uztzbs0ku8.gz -O smultixcan_100004_raw_ccn30.tsv.gz
100005_raw-Carbohydrate	100005_raw	Carbohydrate	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100005_raw_ccn30.tsv.gz	f65bc953628ef6091a0ab2b05affb180d1bc155e	https://uchicago.box.com/shared/static/sxqciiu0s8wac9eissirbxrfiudq0r9r.gz	wget https://uchicago.box.com/shared/static/sxqciiu0s8wac9eissirbxrfiudq0r9r.gz -O smultixcan_100005_raw_ccn30.tsv.gz
100006_raw-Saturated_fat	100006_raw	Saturated fat	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100006_raw_ccn30.tsv.gz	957843ea59cd990ef615e4d85af0f09d5c9f4426	https://uchicago.box.com/shared/static/8xjpi9wl0vtgxnxuva97wozmp1dected.gz	wget https://uchicago.box.com/shared/static/8xjpi9wl0vtgxnxuva97wozmp1dected.gz -O smultixcan_100006_raw_ccn30.tsv.gz
100007_raw-Polyunsaturated_fat	100007_raw	Polyunsaturated fat	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100007_raw_ccn30.tsv.gz	d66420fcd141ac88c4c6ea3a08f9b1ee0e8812f5	https://uchicago.box.com/shared/static/ebvz7x3r8bj0nlk3l6j008s13jdwbxug.gz	wget https://uchicago.box.com/shared/static/ebvz7x3r8bj0nlk3l6j008s13jdwbxug.gz -O smultixcan_100007_raw_ccn30.tsv.gz
100008_raw-Total_sugars	100008_raw	Total sugars	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100008_raw_ccn30.tsv.gz	c7ed8264e47481c6c4f6edce977ac14e9881925a	https://uchicago.box.com/shared/static/51b2ohz8vsui974wj2frf0qslwwye7rx.gz	wget https://uchicago.box.com/shared/static/51b2ohz8vsui974wj2frf0qslwwye7rx.gz -O smultixcan_100008_raw_ccn30.tsv.gz
100009_raw-Englyst_dietary_fibre	100009_raw	Englyst dietary fibre	continuous_raw	51453			UK Biobank	Rapid GWAS Project	smultixcan_100009_raw_ccn30.tsv.gz	4f54f75d4c013d0ebeddf21aa2c2d667f0b38f1a	https://uchicago.box.com/shared/static/zqbjkzmmlha3tfrp4ccfeyxw0wxxib2u.gz	wget https://uchicago.box.com/shared/static/zqbjkzmmlha3tfrp4ccfeyxw0wxxib2u.gz -O smultixcan_100009_raw_ccn30.tsv.gz
100010-Portion_size	100010	Portion size	ordinal	51427			UK Biobank	Rapid GWAS Project	smultixcan_100010_ccn30.tsv.gz	b8e83543837dca6f727cc93a29b098f04fda9557	https://uchicago.box.com/shared/static/gijlr2elre28jzepihz6pv0vpu10isfp.gz	wget https://uchicago.box.com/shared/static/gijlr2elre28jzepihz6pv0vpu10isfp.gz -O smultixcan_100010_ccn30.tsv.gz
